|7000|0.7083|0.5486|0.1938|0.7067|0.1204|
|7000|0.7334|0.5464|0.1425|0.5333|0.0953|
|7000|0.7196|0.5335|0.1562|0.6511|0.0933|
|7000|0.7288|0.5205|0.0962|0.5333|0.0545|
|7000|0.7286|0.5054|0.0149|0.1333|0.0079|
|7000|0.7383|0.5162|0.0480|0.3333|0.0264|
|7000|0.7123|0.5292|0.2213|0.5426|0.1570|
|7000|0.7137|0.5616|0.2550|0.6238|0.1828|
|7000|0.7145|0.5335|0.1960|0.6323|0.1305|
|7000|0.7168|0.5486|0.2082|0.6000|0.1409|
|7000|0.7195|0.5205|0.0993|0.4000|0.0613|
|7000|0.7254|0.5335|0.1558|0.5000|0.0993|
